Case,Nodes,Edges,ParkingLots,TotalSpots,FeasibleSpots,Source,Destination,Alpha,Wmax,Cmax,WeightW,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N10_C10_I1,10,46,2,62,6,8,10,0.9,0.5,20.5,0.9,1071.466,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,14.58,0.7973669865280615,8->7->5,5->10
N10_C1_I1,10,46,2,62,2,8,10,0.9,0.5,20.5,0.9,72.762,5,1,5_S001,near,0.0087,0.00176,0.003992,0.2661,0.0532,0.057192,9.13,4.566208,8->7->5,5->10
N10_C2_I1,10,52,2,62,2,8,10,0.9,0.5,20.5,0.9,1353.311,5,1,5_S001,near,0.0076,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9741587232446856,8->5,5->10
N10_C3_I1,10,46,2,62,2,8,10,0.9,0.5,20.5,0.9,743.096,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C4_I1,10,46,2,62,2,8,10,0.9,1.0,20.5,0.9,910.831,5,1,5_S001,near,0.0087,0.001577,0.002959,0.2661,0.0532,0.056159,9.32,0.9771942264288743,8->7->5,5->10
N10_C5_I1,10,46,2,62,2,8,10,0.9,0.5,20.5,0.9,1021.963,5,1,5_S001,near,0.0113,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9754330856478606,8->7->6->5,5->10
N10_C6_I1,10,46,2,62,2,8,10,0.9,0.5,20.5,0.9,1143.859,5,1,5_S001,near,0.0259,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9794015542415802,8->7->5,5->10
N10_C7_I1,10,46,2,62,2,8,10,0.9,0.5,20.5,0.9,724.54,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C8_I1,10,46,2,62,2,8,10,0.1,0.5,20.5,0.1,819.511,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C9_I1,10,46,2,62,2,8,10,0.9,0.5,15.0,0.9,923.393,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
