method,dat_file,nodes,edges,parking_lots,S,D,Alpha,Wmax,Cmax,w,feasible,parking_node,drive_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,runtime_ms,drive_path,walk_path
ACO,N10_C2_I1.dat,10,48,2,8,10,0.5,0.5,20.5,0.5,1,5,0.0076,0.2661,0.0532,10.77,5.4154,19.41,8->5,5->10
ACO,N20_C2_I1.dat,20,64,2,1,20,0.5,0.5,20.5,0.5,1,18,0.0205,0.35,0.07,9.19,4.64025,45.112,1->5->6->10->11->15->18,18->20
ACO,N30_C2_I1.dat,30,146,2,25,30,0.5,0.5,20.5,0.5,1,27,0.019299999999999998,0.2521,0.0504,9.41,4.73985,39.107,25->23->1->6->27,27->30
ACO,N40_C2_I1.dat,40,192,2,29,40,0.5,0.5,20.5,0.5,1,39,0.023,0.12,0.024,19.16,9.6035,40.043,29->10->6->5->39,39->40
ACO,N50_C2_I1.dat,50,238,2,48,50,0.5,0.5,20.5,0.5,1,29,0.0251,0.2067,0.0413,10.05,5.0582,43.834,48->47->35->21->27->29,29->50
ACO,N500_C2_I1.dat,500,1876,25,476,500,0.5,0.5,20.5,0.5,1,413,0.0927,0.4772,0.0954,8.1,4.14405,587.284,476->469->463->362->361->356->350->353->348->366->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->230->229->217->228->210->137->132->130->120->117->112->110->105->96->92->90->88->79->61->10->11->15->24->19->28->22->30->34->54->192->204->202->260->265->263->268->455->453->449->440->413,413->500
ACO,N1000_C2_I1.dat,1000,3484,50,988,1000,0.5,0.5,20.5,0.5,1,976,0.12270000000000002,0.2216,0.0443,11.22,5.6935,878.537,988->969->877->874->661->659->657->467->450->436->430->408->393->254->235->233->232->230->229->217->228->210->206->110->105->96->88->50->48->47->85->100->119->114->122->123->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->784->793->816->821->826->830->910->933->944->946->948->976,976->1000
ACO,N1500_C2_I1.dat,1500,5076,75,1492,1500,0.5,0.5,20.5,0.5,1,1362,0.13850000000000007,0.4404,0.0881,10.09,5.1583,1410.333,1492->1490->1298->1290->1281->1274->1270->1042->1039->1050->1037->1036->1027->1006->715->711->508->501->476->469->463->467->450->436->430->415->408->393->387->372->371->362->373->356->350->353->348->346->344->334->337->331->329->324->321->309->298->296->289->284->266->262->120->90->50->48->47->43->42->41->40->56->195->482->497->517->518->537->546->766->783->784->791->815->816->1079->1091->1100->1110->1120->1122->1139->1381->1379->1368->1362,1362->1500
ACO,N2000_C2_I1.dat,2000,6664,100,1968,2000,0.5,0.5,20.5,0.5,1,1982,0.1535,0.178,0.0356,8.14,4.16455,9525.919,1968->1955->1807->1789->1788->1488->1495->1479->1486->1471->1465->1460->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->575->564->560->549->547->545->543->540->538->561->548->542->534->259->254->235->233->232->230->229->217->50->48->47->43->42->41->40->56->38->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->753->763->765->764->766->783->784->791->815->816->821->826->830->839->842->849->852->860->1184->1502->1782->1785->1818->1821->1823->1824->1857->1861->1871->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982,1982->2000
ACO,N2500_C2_I1.dat,2500,8278,125,2491,2500,0.5,0.5,20.5,0.5,1,2476,0.16619999999999996,0.1661,0.0332,8.29,4.2447,6648.975,2491->2341->2332->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1465->1460->1430->1423->1406->1401->1391->1384->1380->1374->1063->1051->1042->1039->1050->1037->681->687->689->362->373->356->350->353->348->346->138->88->189->216->223->569->570->573->893->894->910->933->944->946->948->976->978->985->991->995->1017->1390->1403->1417->1434->1426->1428->1453->1462->1463->1481->1497->1499->1821->1818->2186->2196->2204->2208->2212->2217->2229->2441->2452->2456->2460->2473->2461->2466->2476,2476->2500
