solver_node,sumo_node_id
1,10054964230
2,10117541313
3,10117541314
4,10129296995
5,1013323718
6,1013323719
7,10136635288
8,1019435810
9,1019435828
10,10220643198
11,10220643199
12,10538055453
13,10627514428
14,10845048005
15,1111318641
16,11118327803
17,11154333393
18,11195990511
19,11386320240
20,11386320244
21,114158636
22,114197516
23,114197525
24,114197533
25,114197545
26,114197616
27,11970617687
28,11989097530
29,11999409402
30,12034992496
31,12035072774
32,12035072775
33,12044128826
34,12044992548
35,12052070210
36,12052070211
37,12054185208
38,12073327064
39,12134911232
40,12346588499
41,12364195171
42,12662559492
43,12697044460
44,12701599108
45,12708745103
46,12751376331
47,12751376389
48,12751376390
49,12751376391
50,12751665809
51,12761537057
52,12761537058
53,12761537059
54,12782278410
55,12802051734
56,12803499336
57,12813288166
58,12816306815
59,12824679027
60,12912059504
61,12968776798
62,12969191289
63,12976074114
64,12976074115
65,12993728887
66,13015332260
67,13017180080
68,13017180081
69,13033241463
70,13072530262
71,13077532485
72,13081115612
73,1309577633-AddedOffRampNode
74,13105386589
75,13119677318
76,13130143614
77,13131909136
78,13131909139
79,13236828792
80,13236828793
81,13251917735
82,13252209958
83,13264826401
84,13266867432
85,13277070109
86,13301907136
87,13315820512
88,13319810686
89,13319810691
90,13322081229
91,13329574191
92,13329633884
93,13329633893
94,13329633894
95,13329633895
96,13329633896
97,13329633897
98,13329633898
99,13329633899
100,13329633900
101,13329684337
102,13329700701
103,13329700713
104,13329700730
105,13329700737
106,13329700738
107,13329700752
108,13329700764
109,13330071529
110,1334076400
111,13350672184
112,13382612921
113,13382612922
114,13432233936
115,1349947413
116,1463004904
117,1463979935
118,1474005612
119,1475138181
120,1475151214
121,1481954812
122,1489268449
123,1489637009
124,1489841889
125,1489841890
126,1507472822
127,1507618123
128,1507618124
129,1509407617
130,1514664671
131,1514895831
132,1534614712
133,1543039530
134,15434359
135,15434363
136,15434374
137,15434380
138,1544266225
139,1544446031
140,1545816723
141,1546157809
142,1549904502
143,1553050146
144,1553072112
145,1553072912
146,1553073708
147,1553074296
148,1553079107
149,1553391593
150,1557145390
151,1564571441
152,1570470755
153,1572274220
154,1572274226
155,1572274240
156,1572274258
157,1572274262
158,1572274271
159,1572274779
160,1573617448
161,1575070781
162,1575070785
163,1575070800
164,1577628832
165,1578545606
166,1578545678
167,1583473982
168,1587958288
169,1588087912
170,1588087948
171,1588088092
172,1588088186
173,1588088195
174,1592027518
175,1592027522
176,1592064280
177,1592064284
178,1592136089
179,1592136109
180,1594214784
181,1594214788
182,1594214797
183,1594214801
184,1605629276
185,1605629364
186,1605629382
187,1605629462
188,1605629477
189,1605646952
190,1605646977
191,1605647023
192,1605647061
193,1606967757
194,1612688174
195,1613212227
196,1613212236
197,1621912299
198,1623257629
199,1647504605
200,1667842661
201,1669486645
202,1673536205
203,1673536222
204,1677703264
205,1677703303
206,1685306649
207,1685306650
208,1685306669
209,1685401927
210,1699698670
211,1701347075
212,1701620285
213,1703857751
214,1727351004
215,1761863805
216,1762715583
217,1772182829
218,1772228771
219,1801260560
220,1801260561
221,1810222135
222,1820676308
223,1821035843
224,1822055188
225,1822540148
226,1826354837
227,1832275456
228,1837119678
229,1838323753
230,1838323759
231,1850773136
232,1870942094
233,1873900667
234,187977745#0-AddedOnRampNode
235,1906476090
236,1911930952
237,1911930957
238,1914269560
239,1914277251
240,1928166925
241,1946220905
242,1947591826
243,1947591832
244,1983147608
245,1985900122
246,1986114285
247,1999205832
248,1999205833
249,1999217108
250,2002201332
251,2027440548
252,2038386672
253,2067978508
254,2090596137
255,2099065320
256,2103068296
257,2103068306
258,2105727179
259,2113349480
260,2120142957
261,2125413348
262,21305996
263,21305997
264,21305998
265,2140181671
266,2144935899
267,2144936033
268,21456881
269,21456887
270,21456894
271,2160064016
272,2190611546
273,2220284425
274,2243680788
275,2256342789
276,2256349210
277,2256351534
278,2256352486
279,225757572#0-AddedOnRampNode
280,225757572#1-AddedOnRampNode
281,2261910377
282,2276974582
283,2296395497
284,2341508003
285,2372876949
286,2408401455
287,2445342292
288,2445343076
289,2445880917
290,24486492
291,24486661
292,24486675
293,24486683
294,24486685
295,2451243512
296,2452418977
297,2455621140
298,2458464742
299,2458465705
300,2466643837
301,250197359
302,250197361
303,250197364
304,250197369
305,250197371
306,250197374
307,250197376
308,250197378
309,250197384
310,250197386
311,250197390
312,250197393
313,250197397
314,250197400
315,250197402
316,250197404
317,250197407
318,250197410
319,250197418
320,250197421
321,250197440
322,250197456
323,250197463
324,250197466
325,250197467
326,250197468
327,250197469
328,250197470
329,250197471
330,250197472
331,250197473
332,250197476
333,250197477
334,250197479
335,250197480
336,250197481
337,250197485
