Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N1000_C4_I1,1000,3252,50,988,1000,0.9,1.0,20.5,0.9,True,203683.904,995,1,995_S001,near,0.1707000000000001,0.001467,0.002381,0.12,0.024,0.12,0.026381,17.52,0.6204949451351751,988->877->874->865->861->857->856->851->813->810->805->786->762->761->757->755->725->715->711->708->705->696->691->697->698->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->467->450->436->430->408->393->387->372->375->371->362->373->356->350->353->348->346->344->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->230->229->217->228->210->410->404->392->193->190->183->178->174->168->164->163->162->175->169->153->137->132->130->120->92->90->118->95->87->99->83->61->60->80->42->41->40->78->77->69->68->63->21->1->5->6->10->11->15->24->19->28->20->26->30->34->54->53->89->49->85->100->119->114->122->123->125->133->152->134->181->143->146->156->166->158->170->173->185->192->204->202->260->263->275->288->290->293->306->317->358->363->379->384->402->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->784->793->816->822->821->826->830->985->995,995->1000
N10_C10_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,2470.571,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,14.58,0.7973669865280615,8->7->5,5->10
N10_C6_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,2040.334,5,1,5_S001,near,0.0259,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9794015542415802,8->7->5,5->10
N10_C8_I1,10,46,2,8,10,0.1,0.5,20.5,0.1,True,2200.875,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N1500_C2_I1,1500,5226,75,1492,1500,0.9,0.5,20.5,0.9,True,738543.551,1499,357,1499_S001,near,0.18090000000000003,0.001512,0.00281,0.12,0.024,0.12,0.02681,15.31,0.8552075679477945,1492->1298->1486->1479->1231->1234->1252->1254->1257->1262->1279->1270->1042->1039->1050->1037->1036->1027->1006->715->711->508->501->516->509->493->491->487->266->262->120->90->88->76->73->126->127->177->187->195->482->495->497->517->518->537->546->551->783->793->791->815->816->1079->1091->1100->1110->1120->1116->1122->1139->1167->1168->1390->1269->1497->1499,1499->1500
N20_C4_I1,20,62,2,1,20,0.9,1.0,20.5,0.9,True,981.09,19,1,19_S001,near,0.0251,0.001398,0.002312,0.12,0.024,0.12,0.026312000000000002,17.87,0.5825592793676262,1->5->6->10->11->15->18->19,19->20
