Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N1000_C7_I1,1000,3252,50,988,1000,0.9,0.5,20.5,0.9,True,190872.983,995,1,995_S001,near,0.19300000000000023,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,0.9023963178260158,988->877->874->865->857->856->851->813->810->805->786->762->776->757->755->725->715->711->723->705->696->691->697->689->687->695->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->467->450->436->430->408->393->387->372->375->371->362->361->356->350->365->353->348->346->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->244->230->229->219->217->228->210->206->410->404->196->193->390->383->183->178->174->341->333->326->318->316->163->162->175->169->153->147->132->251->241->239->108->79->57->52->51->60->80->65->74->66->56->69->91->84->46->35->23->21->1->9->10->11->15->18->12->24->19->28->22->30->34->54->29->49->85->111->119->114->122->123->125->133->134->181->143->146->156->166->167->158->170->173->185->197->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->816->822->821->826->830->985->995,995->1000
N10_C3_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,2190.056,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N1500_C5_I1,1500,4728,75,1492,1500,0.9,0.5,20.5,0.9,True,950000.814,1434,638,1434_S001,near,0.30840000000000023,0.001766,0.004204,0.298,0.0596,0.298,0.063804,9.68,1.0519093218153248,1492->1490->1298->1290->1281->1274->1270->1279->1262->1257->1254->1252->1219->1206->1212->1228->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1055->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->907->904->903->896->892->905->888->885->878->877->874->865->857->856->851->813->810->805->786->762->761->757->755->741->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->524->522->508->501->476->469->463->450->439->437->436->430->422->415->408->393->387->381->372->371->362->361->356->350->353->348->346->349->334->337->331->329->594->587->577->559->324->321->309->298->296->299->289->500->259->254->235->233->232->230->229->219->217->228->210->206->209->201->198->196->193->190->183->178->339->338->335->333->326->316->292->153->147->110->105->96->107->118->95->87->97->99->83->73->116->101->82->150->145->23->21->1->2->3->4->8->15->24->19->20->26->33->27->34->54->53->89->49->85->111->119->114->122->123->125->133->134->181->143->146->216->156->166->158->170->211->212->227->185->197->204->202->260->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->454->449->455->460->468->462->471->482->495->497->517->518->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->784->791->815->816->821->826->830->839->854->849->852->860->864->866->875->867->870->880->882->889->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1116->1122->1139->1167->1168->1173->1175->1178->1192->1180->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1426->1434,1434->1500
N20_C1_I1,20,62,2,1,20,0.9,0.5,20.5,0.9,True,1608.7,19,1,19_S001,near,0.0251,0.001494,0.002792,0.12,0.024,0.12,0.026792,17.8,0.5774104039072213,1->5->6->10->11->15->18->19,19->20
N20_C7_I1,20,62,2,1,20,0.9,0.5,20.5,0.9,True,1460.695,19,1,19_S001,near,0.0251,0.001494,0.002792,0.12,0.024,0.12,0.026792,17.8,0.5774104039072213,1->5->6->10->11->15->18->19,19->20
