node_id,x,y
10054964230,1615.53,3828.38
10117541313,6570.04,2532.69
10117541314,6854.48,2309.01
10129296995,7055.81,2749.62
1013323718,7483.18,1388.28
1013323719,7409.16,1447.5
10136635288,7493.33,3500.21
1019435810,3367.77,1817.62
1019435828,3608.23,1447.72
10220643198,7589.92,3528.27
10220643199,7596.41,3526.8
10538055453,1392.59,1914.43
10627514428,6541.57,2973.04
10845048005,5316.61,2512.43
1111318641,4297.8,5425.87
11118327803,3754.8,5786.82
11154333393,3778.66,5638.61
11195990511,4371.25,3907.42
11386320240,3128.69,2736.67
11386320244,3043.64,2695.63
114158636,2803.44,5576.49
114197516,3213.99,3891.95
114197525,3345.56,3822.83
114197533,3583.16,3514.82
114197545,3746.79,3244.14
114197616,4944.79,1303.91
11970617687,2421.15,4807.93
11989097530,1642.27,2033.25
11999409402,5659.83,3552.72
12034992496,6014.58,5192.91
12035072774,5365.15,3559.86
12035072775,5142.66,3655.91
12044128826,2578.07,1343.32
12044992548,4518.31,5191.74
12052070210,3946.72,4747.72
12052070211,3939.16,4786.53
12054185208,4088.63,3696.2
12073327064,2639.55,4083.8
12134911232,6081.3,1256.97
12346588499,5393.68,3670.7
12364195171,2227.21,3786.01
12662559492,7798.4,3988.0
12697044460,7981.28,4105.56
12701599108,4112.51,1329.39
12708745103,7220.08,3638.95
12751376331,8115.86,2315.5
12751376389,7958.38,2127.74
12751376390,7941.52,2101.97
12751376391,8006.88,2206.91
12751665809,7900.33,2241.05
12761537057,4049.25,4089.23
12761537058,4152.68,4057.68
12761537059,4238.73,3988.14
12782278410,2840.02,5595.44
12802051734,2726.73,5530.35
12803499336,6937.06,3354.02
12813288166,2431.94,3915.54
12816306815,4694.76,1536.67
12824679027,1498.11,3266.28
12912059504,6982.78,2210.41
12968776798,984.93,5365.22
12969191289,7476.56,1357.23
12976074114,3571.15,1343.64
12976074115,3564.19,1357.77
12993728887,5515.64,2150.45
13015332260,1468.47,1950.9
13017180080,1081.18,1768.46
13017180081,1016.76,1737.14
13033241463,1789.0,2795.74
13072530262,3815.67,5404.73
13077532485,1181.46,3278.61
13081115612,1070.94,3225.0
1309577633-AddedOffRampNode,7554.62,5712.85
13105386589,1249.07,3689.93
13119677318,2592.91,4488.54
13130143614,6876.45,2988.17
13131909136,5490.13,5421.05
13131909139,5140.66,5555.55
13236828792,3521.14,5334.18
13236828793,3477.83,5394.29
13251917735,4742.13,1514.91
13252209958,7603.04,1680.58
13264826401,4931.31,3590.25
13266867432,5122.81,2101.93
13277070109,4430.9,3938.35
13301907136,4439.54,3877.45
13315820512,4514.74,4128.51
13319810686,4627.87,5483.65
13319810691,4337.68,5911.09
13322081229,6454.86,1668.22
13329574191,4546.47,3431.8
13329633884,6391.63,2672.0
13329633893,2128.88,4417.37
13329633894,2061.63,4361.36
13329633895,1999.01,4303.9
13329633896,1133.8,4048.99
13329633897,1479.39,3909.04
13329633898,1718.79,4014.77
13329633899,1769.91,4067.46
13329633900,1834.56,4133.47
13329684337,6490.09,1598.52
13329700701,1883.21,4183.9
13329700713,7769.08,3967.18
13329700730,4358.01,3382.88
13329700737,4325.41,3457.26
13329700738,4310.16,3488.09
13329700752,4235.93,3638.91
13329700764,7870.17,4038.8
13330071529,4720.74,3517.05
1334076400,3876.48,5863.1
13350672184,2643.84,5866.32
13382612921,4525.68,4152.66
13382612922,4543.94,4193.72
13432233936,4769.23,4573.15
1349947413,5128.22,4266.14
1463004904,6110.64,2669.18
1463979935,6374.61,3842.05
1474005612,3151.58,5650.2
1475138181,6198.74,2478.03
1475151214,5439.65,2829.68
1481954812,4956.07,2757.27
1489268449,7225.19,3496.73
1489637009,6673.72,3209.04
1489841889,7202.45,2653.74
1489841890,7057.48,2566.88
1507472822,7650.79,2497.63
1507618123,5727.82,3193.28
1507618124,5668.62,3232.81
1509407617,6522.62,3059.01
1514664671,5627.33,4582.53
1514895831,7277.74,2910.88
1534614712,6200.01,2549.35
1543039530,5545.57,3149.1
15434359,3783.96,5606.21
15434363,4012.37,4429.88
15434374,6044.32,3401.59
15434380,7005.28,2913.79
1544266225,6466.04,2667.7
1544446031,4217.83,4579.6
1545816723,5095.42,2973.36
1546157809,6577.1,5198.29
1549904502,4843.29,3454.9
1553050146,5385.42,4778.57
1553072112,5206.06,5363.59
1553072912,5308.1,4842.65
1553073708,5837.35,4317.36
1553074296,5771.16,4401.22
1553079107,6529.05,5728.95
1553391593,7135.86,4188.03
1557145390,5691.5,1881.93
1564571441,7472.43,1820.63
1570470755,4560.9,5566.17
1572274220,2709.19,4642.34
1572274226,2374.32,4651.31
1572274240,2372.21,4683.66
1572274258,2772.85,4713.45
1572274262,2344.34,4715.49
1572274271,2404.81,4727.55
1572274779,1824.15,5164.99
1573617448,4591.8,3810.77
1575070781,4691.31,3765.99
1575070785,4822.21,3695.09
1575070800,4866.25,3659.42
1577628832,1771.58,3941.49
1578545606,5835.67,3010.24
1578545678,5875.78,3100.89
1583473982,3855.21,4319.71
1587958288,6944.54,1549.49
1588087912,7686.63,2804.24
1588087948,7779.87,2910.35
1588088092,7246.7,3122.94
1588088186,7308.1,3740.34
1588088195,7225.45,3853.44
1592027518,3828.7,5331.23
1592027522,3821.49,5370.09
1592064280,4532.91,4168.63
1592064284,5625.06,5744.74
1592136089,7352.88,2620.35
1592136109,7268.88,4376.36
1594214784,7768.87,3612.35
1594214788,7236.07,3293.37
1594214797,7657.87,3394.35
1594214801,7833.88,3478.35
1605629276,1904.69,4917.79
1605629364,936.56,4591.05
1605629382,2118.69,4761.75
1605629462,1415.65,4739.01
1605629477,1994.66,4665.09
1605646952,1583.56,4130.36
1605646977,1036.17,3700.84
1605647023,1625.77,4041.87
1605647061,1030.48,3905.79
1606967757,1048.69,5379.83
1612688174,5100.43,3797.48
1613212227,4123.21,4568.82
1613212236,4082.62,4578.47
1621912299,6836.08,4659.22
1623257629,6549.26,3821.95
1647504605,5914.56,3191.96
1667842661,5924.24,2433.42
1669486645,3852.76,4810.6
1673536205,4411.03,1272.21
1673536222,4619.9,1383.18
1677703264,5589.9,3114.24
1677703303,5500.49,3002.35
