Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N1000_C10_I1,1000,3252,50,988,1000,0.9,0.5,20.5,0.9,True,102219.49,995,1,995_S001,near,0.2000000000000002,0.001563,0.002861,0.12,0.024,0.12,0.026861,18.32,1.1419449532964858,988->981->877->874->865->857->856->851->818->813->810->812->805->786->762->761->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->581->560->549->547->545->543->540->566->561->548->542->530->534->539->526->525->527->508->501->476->469->463->450->436->430->422->415->408->393->387->381->372->375->371->362->373->361->356->350->353->365->348->346->366->344->349->334->337->331->329->324->321->314->309->298->296->289->284->266->262->259->254->235->233->232->244->230->425->424->420->418->409->198->392->390->383->380->385->183->178->335->333->326->164->163->162->155->172->175->169->153->137->246->243->132->138->130->120->117->115->315->305->303->41->40->66->39->69->68->63->21->1->5->6->2->7->14->15->18->24->19->28->22->30->34->54->53->89->49->85->111->100->119->114->129->122->123->125->133->134->143->146->156->166->177->167->158->170->173->185->192->199->204->202->260->263->268->275->288->290->293->297->306->317->358->363->379->384->402->394->407->396->397->401->406->398->399->403->413->440->449->455->460->468->462->471->482->495->497->517->518->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->765->764->766->783->793->816->821->826->830->976->978->985->995,995->1000
N1000_C4_I1,1000,3252,50,988,1000,0.9,1.0,20.5,0.9,True,108774.958,995,2,995_S002,near,0.19600000000000026,0.001838,0.003154,0.12,0.024,0.12,0.027154,17.59,0.6920142350072378,988->877->874->865->861->857->856->851->818->813->810->805->786->762->761->757->755->725->715->711->723->705->696->691->697->698->689->687->681->674->667->661->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->566->561->548->532->542->534->539->526->525->527->522->508->501->476->469->463->450->439->437->436->430->422->415->408->393->387->381->372->375->371->362->361->356->350->365->348->346->349->334->337->331->329->324->321->309->298->299->296->289->487->485->479->475->458->464->456->457->441->438->425->206->209->201->198->196->193->190->390->383->380->370->339->338->341->333->326->318->301->278->277->272->246->242->241->239->238->108->105->110->115->315->42->41->40->78->55->37->75->84->91->86->68->63->23->21->1->2->3->13->10->11->15->18->24->19->28->22->30->33->45->27->34->54->29->89->98->94->67->85->100->119->114->122->123->125->133->152->134->181->191->194->189->216->187->177->167->158->173->185->197->192->204->202->260->263->268->275->288->290->293->297->306->317->358->363->379->384->402->394->407->396->397->401->406->398->403->413->440->454->449->455->460->468->471->482->495->497->517->518->536->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->709->713->721->734->745->748->749->753->763->764->766->783->793->784->791->815->816->821->826->830->933->944->946->948->976->978->985->995,995->1000
N1000_C8_I1,1000,3252,50,988,1000,0.1,0.5,20.5,0.1,True,99863.217,995,1,995_S001,near,0.2105000000000002,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,0.9667398099413846,988->981->969->961->929->924->917->912->907->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->813->810->812->805->786->762->761->776->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->669->657->636->609->599->592->588->576->574->586->568->575->564->581->560->549->547->545->543->540->538->561->532->542->530->534->539->526->525->522->527->519->501->476->469->463->450->437->436->430->422->415->408->393->387->372->375->371->362->373->356->350->365->348->346->366->349->334->337->331->329->324->321->314->309->298->296->289->487->485->479->475->458->464->456->457->441->438->425->206->209->201->198->196->392->390->190->183->178->174->341->338->164->163->301->292->316->162->155->172->169->153->147->132->138->130->120->117->115->315->305->303->41->62->59->82->78->86->84->68->63->23->21->1->2->7->14->15->17->18->12->24->19->28->22->30->33->27->34->54->29->49->98->94->67->85->100->119->114->122->123->125->133->134->181->143->146->156->166->167->158->173->185->197->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->461->462->468->471->482->495->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->709->713->721->734->745->748->749->753->763->765->764->766->783->793->784->791->815->822->816->821->826->830->978->985->995,995->1000
N10_C2_I1,10,52,2,8,10,0.9,0.5,20.5,0.9,True,971.391,5,1,5_S001,near,0.0076,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9741587232446856,8->5,5->10
N10_C6_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,1218.608,5,1,5_S001,near,0.0259,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9794015542415802,8->7->5,5->10
N1500_C2_I1,1500,5226,75,1492,1500,0.9,0.5,20.5,0.9,True,149222.023,1463,446,1463_S001,near,0.18240000000000006,0.001608,0.003325,0.1857,0.0371,0.1857,0.040425,9.68,0.8842479310864436,1492->1490->1488->1254->1257->1262->1279->1270->1274->1281->1290->1063->1051->1055->1042->1039->1050->1037->1036->1027->1006->988->981->969->961->929->924->917->912->904->903->896->892->669->659->661->667->674->836->868->422->415->408->393->387->381->424->425->105->57->52->70->65->127->136->187->195->482->497->517->518->536->537->546->766->783->793->784->791->815->816->1079->1091->1100->1110->1120->1116->1122->1139->1381->1382->1387->1390->1403->1417->1408->1269->1497->1499->1481->1463,1463->1500
